SMILES,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,AromaticRings
Nc1ccc(-c2scc3nccnc23)cc1,2.3883,3.2324,3.8784,3.9948,4.1943,4.356,4.4422,4.8906,5.0007,5.1693,5.2191,5.5839,5.6635,5.7717,5.8352,1.4016,2.7147,3.0233,3.2419,3.3202,3.6128,3.85,4.0208,4.299,4.3258,4.4826,4.7019,4.9841,4.9999,5.2141,3
c1ccc2c(c1)ccn2-c1scc2nccnc12,2.4753,2.917,3.2689,3.5552,4.4344,4.4975,4.5463,4.764,4.943,5.0474,5.091,5.1358,5.1873,5.3345,5.5311,1.7326,2.6367,2.7068,3.0474,3.2425,3.3649,3.8743,4.0569,4.262,4.2774,4.4369,4.5062,4.6415,4.747,4.923,4
c1cnc2c(-c3ccc4occc4c3)scc2n1,2.7097,3.2027,3.2249,4.2494,4.3252,4.4116,4.6059,4.9616,5.0159,5.1221,5.1953,5.1987,5.359,5.526,5.5768,1.5603,2.6928,3.0048,3.2189,3.2974,3.5355,3.7935,3.8938,4.2395,4.3036,4.5315,4.6492,4.8668,4.8787,4.9578,4
c1cnc2c(-c3ccc4[nH]cnc4c3)scc2n1,2.6597,3.2142,3.3965,4.2125,4.2743,4.3734,4.6232,4.6959,4.9773,5.1299,5.1913,5.1934,5.4205,5.5433,5.6094,1.5442,2.701,3.1149,3.2628,3.3195,3.6917,3.7237,3.8946,4.2219,4.3121,4.6427,4.6457,4.7942,4.8961,4.956,4
c1cc(-c2scc3nccnc23)c2ncoc2c1,3.0983,3.2253,3.9162,4.1716,4.3264,4.4575,4.7581,4.7994,4.9251,5.158,5.271,5.4154,5.4728,5.5449,5.654,1.8273,2.6907,3.2041,3.3268,3.6899,3.9343,3.9893,4.2648,4.3275,4.4721,4.5836,4.6623,4.7197,4.9069,4.977,4
c1cnc2c(-c3ccc4[nH]nnc4c3)scc2n1,2.764,3.1845,3.7424,4.006,4.3314,4.355,4.4555,4.573,4.8311,4.9569,5.0347,5.2038,5.2315,5.2939,5.4292,1.5871,2.6818,3.0343,3.2727,3.482,3.6344,3.6649,3.9235,4.0206,4.2905,4.3057,4.4951,4.7221,4.7306,4.9227,4
CN(C)c1ccc(-c2scc3nccnc23)cc1,2.3727,3.2437,3.6728,3.9809,4.132,4.3367,4.3789,4.9414,5.0233,5.1033,5.2116,5.3385,5.3821,5.5749,5.6766,1.4546,2.72,2.9157,3.193,3.3247,3.6246,3.8399,3.9942,4.2864,4.3376,4.3973,4.7351,4.8587,4.9872,5.1787,3
c1cc2cc(-c3scc4nccnc34)ccc2cn1,2.7583,3.1532,3.1749,3.6878,3.8918,4.2068,4.3173,4.443,4.5211,4.6798,4.6827,4.8882,4.9563,5.0877,5.1699,1.5644,2.5992,2.667,3.0895,3.2544,3.4243,3.4505,3.9065,3.9848,4.0938,4.2264,4.2309,4.2841,4.3015,4.508,4
c1cnc2ncc(-c3scc4nccnc34)cc2c1,2.794,3.12,3.4891,3.6224,3.888,3.8888,4.1064,4.2725,4.3716,4.4853,4.5543,4.6272,4.8003,4.8699,5.0127,1.5887,2.6685,2.7846,3.2465,3.3002,3.4405,3.5937,3.6103,3.7273,3.8564,3.868,4.2003,4.3028,4.3259,4.3343,4
c1cnc2ccc(-c3scc4nccnc34)cc2c1,2.7065,3.1798,3.4329,3.7729,3.8326,4.2238,4.3016,4.3681,4.4054,4.6907,4.7172,5.0094,5.1469,5.1487,5.2472,1.5498,2.684,2.6969,3.2094,3.338,3.476,3.6143,3.653,3.7863,3.9861,4.2387,4.278,4.3244,4.4975,4.5616,4
c1cnc2c(-c3cnc4cnncc4c3)scc2n1,2.8419,2.9048,3.1224,3.409,3.6698,3.8283,3.9413,4.0124,4.1794,4.2347,4.3649,4.5249,4.6784,4.7474,4.8841,1.6246,2.6091,2.6632,2.8229,3.0404,3.2244,3.4582,3.4965,3.5625,3.6256,3.8094,3.9393,4.0995,4.2614,4.2929,4
Fc1cc(-c2scc3nccnc23)cc(F)c1F,2.8232,3.1813,3.7522,4.2753,4.4182,4.5162,4.8498,4.9041,5.0405,5.238,5.5126,5.6666,5.689,5.8237,5.9484,1.6028,2.6832,3.2296,3.2481,3.5345,3.8189,4.1521,4.3046,4.3428,4.4627,4.6836,4.741,4.8849,4.996,5.0834,3
c1cc(-c2scc3nccnc23)c2ccsc2c1,2.5948,3.1618,3.4351,3.6757,3.9548,4.3362,4.51,4.7792,4.9151,4.9473,5.0327,5.0557,5.1466,5.3487,5.3567,1.5062,2.6702,2.8295,3.1484,3.2219,3.3783,3.7338,3.984,4.1594,4.2506,4.3854,4.5088,4.5704,4.6137,4.7279,4
c1ccc2sc(-c3scc4nccnc34)nc2c1,2.8043,2.9636,3.2193,3.9656,4.0642,4.1167,4.3657,4.4562,4.5044,4.5865,4.8719,4.9938,5.0367,5.1532,5.3282,1.5829,2.5248,2.8787,3.1121,3.257,3.593,3.6283,3.8654,4.2075,4.2508,4.2686,4.2938,4.3262,4.4227,4.5581,4
O=c1ccn(-c2scc3nccnc23)c2ccccc12,2.4651,2.957,3.2317,3.5059,3.5904,3.681,3.9021,4.3045,4.5162,4.7096,4.8115,4.852,4.8982,4.9976,5.1315,1.9843,2.4293,2.7233,2.9562,3.0429,3.2646,3.2995,3.5228,3.5951,3.9104,3.9276,4.064,4.2923,4.3728,4.688,4
c1cnc2c(c1)ccc1cc(-c3scc4nccnc34)cnc12,2.7487,3.1194,3.1762,3.4255,3.8159,3.8352,3.8645,4.0404,4.1103,4.1853,4.3369,4.3506,4.5059,4.5077,4.5839,1.5867,2.6687,2.7902,2.9907,3.2403,3.2639,3.2757,3.4189,3.6018,3.6309,3.7205,3.7414,3.9147,3.9421,4.1236,5
c1ccc2c(c1)-c1ccccc1C2c1scc2nccnc12,2.9891,3.1954,3.3424,3.893,4.0339,4.4389,4.5115,4.5783,4.8276,4.836,4.8889,4.9344,5.072,5.2551,5.3569,1.9008,2.6763,3.0366,3.0606,3.3672,3.8426,3.9038,3.9615,4.0313,4.0603,4.2708,4.3297,4.3415,4.4894,4.6307,4
c1ccc2c(c1)Oc1ccc(-c3scc4nccnc34)cc1O2,2.3866,3.0641,3.1976,3.7673,3.8554,4.232,4.3161,4.3733,4.4832,4.5895,4.687,4.9119,4.9315,5.0448,5.0706,1.4916,2.566,2.6922,3.0595,3.2686,3.4657,3.5542,3.7466,3.8639,3.9893,4.1171,4.2369,4.2938,4.3081,4.3616,4
c1cnc2c(-c3cc4c5c(c3)CCCN5CCC4)scc2n1,2.2744,3.242,3.5711,3.6413,4.0182,4.1563,4.3251,4.8597,4.9859,5.0219,5.1999,5.2616,5.3096,5.4492,5.5197,1.4077,2.7186,2.7755,3.0924,3.3112,3.4845,3.502,3.9174,4.1094,4.2985,4.3415,4.6766,4.7777,4.877,5.0,3
c1cnc2c(-c3ccc(-c4cc5c6c(c4)CCCN6CCC5)cc3)scc2n1,2.2168,2.9683,3.2139,3.6591,3.6613,3.8309,4.1457,4.2666,4.3439,4.3638,4.4537,4.824,4.9068,4.9307,4.9649,1.509,2.3497,2.7011,2.8682,3.2897,3.4186,3.5089,3.6037,3.6495,3.8045,3.9194,3.9922,4.1454,4.2959,4.3225,4
c1cnc2c(-c3ccc(-c4cc5c6c(c4)CCCN6CCC5)s3)scc2n1,2.0397,2.894,3.2176,3.3721,3.6344,3.7724,4.0244,4.1473,4.241,4.3018,4.4939,4.5819,4.82,4.8283,4.8854,1.1881,2.2949,2.5736,2.7216,3.2361,3.2842,3.4188,3.4437,3.5954,3.6059,3.9055,3.9943,4.1701,4.3088,4.3485,4
c1ccc2c(c1)CCc1ccccc1N2c1scc2nccnc12,2.5084,3.2573,3.3,3.5833,3.7021,3.8838,4.3645,4.4805,4.6933,4.7722,4.8308,4.898,5.0781,5.0976,5.227,1.7903,2.5807,2.7913,3.2788,3.4989,3.5954,3.6559,3.7048,3.7813,3.9151,4.1213,4.3329,4.3818,4.4518,4.5161,4
CC1(C)c2ccccc2-c2cc(-c3scc4nccnc34)ccc21,2.7514,3.1268,3.2425,3.9159,4.1285,4.246,4.3386,4.4512,4.6385,4.7714,4.9096,4.9586,4.9839,5.1108,5.2056,1.637,2.6942,2.889,3.075,3.3008,3.4611,3.7724,3.8578,3.9295,4.0686,4.122,4.2817,4.3269,4.4063,4.5392,4
c1ccc2cc3c(cc2c1)c1ccccc1n3-c1scc2nccnc12,2.1313,2.8147,3.2187,3.3566,3.4531,3.5506,3.9826,4.1769,4.3461,4.4267,4.4477,4.6564,4.7081,4.7505,4.7739,1.7634,2.2793,2.3799,2.6958,2.8555,3.2065,3.2863,3.4258,3.5331,3.81,3.9159,4.0486,4.1363,4.1876,4.2603,6
c1cc(-c2scc3nccnc23)cnn1,2.6316,3.0226,3.2156,3.778,4.1672,4.2096,4.4264,4.4745,4.6367,4.7605,4.8667,4.9929,5.1402,5.4675,5.4859,1.6804,2.3513,2.7014,3.2186,3.2435,3.2736,3.818,4.0322,4.0994,4.2993,4.3001,4.4456,4.4611,4.5858,4.6377,3
c1c[nH]c(-c2scc3nccnc23)n1,2.7424,3.0542,4.1215,4.3148,4.3823,4.5801,4.7036,4.8866,4.9109,4.9966,5.4683,5.577,5.8506,6.0178,6.0202,1.5331,2.5665,3.3343,3.3424,3.6771,3.8741,4.2472,4.2968,4.4041,4.5088,4.6159,4.7152,5.0293,5.2212,5.4202,3
c1ccc2[nH]c(-c3scc4nccnc34)nc2c1,2.693,3.0052,3.1386,3.9947,4.054,4.2066,4.4218,4.7383,4.7744,4.8153,4.9103,5.233,5.3025,5.4394,5.5207,1.5584,2.538,2.8186,3.1907,3.3106,3.4988,3.7465,3.8484,4.2078,4.2552,4.4723,4.5185,4.5673,4.626,4.7361,4
c1ccc(-c2ccc(-c3scc4nccnc34)cn2)nc1,2.7021,3.1406,3.5116,3.8066,3.8795,3.9901,4.2436,4.3646,4.3683,4.5429,4.6644,4.7239,4.7859,4.9327,4.9361,1.5482,2.6644,2.8306,3.2534,3.3871,3.4616,3.7444,3.8008,3.8205,4.0271,4.1428,4.1688,4.2318,4.2779,4.3671,4
c1ccc2c(c1)Cc1ccc(-c3scc4nccnc34)cc1-2,2.6737,3.1387,3.1933,3.9279,4.1289,4.2435,4.3396,4.4188,4.713,4.7725,4.9035,4.9293,4.9422,5.074,5.1854,1.556,2.6866,2.8832,3.0353,3.2821,3.403,3.7669,3.8251,3.9646,4.0635,4.1472,4.2963,4.3125,4.4346,4.5204,4
c1cc2c(cn1)c1cnccc1n2-c1scc2nccnc12,2.9172,3.0604,3.2575,3.5792,3.6799,3.7135,4.3875,4.4765,4.5498,4.6532,4.6823,4.7547,4.7822,5.0085,5.03,1.9448,2.6548,3.0528,3.0999,3.2791,3.3099,3.6618,3.7091,3.8591,4.0289,4.2806,4.3047,4.3374,4.4209,4.4274,5
c1cnc2c(-c3c4ccoc4cc4ccoc34)scc2n1,2.5806,3.1945,3.2467,3.7933,3.9397,4.3557,4.3713,4.4185,4.7669,4.9213,5.018,5.0612,5.256,5.291,5.4198,1.6957,2.5968,2.7053,2.9719,3.2814,3.2904,3.6577,3.9837,4.0784,4.268,4.3516,4.4342,4.5093,4.5734,4.6976,5
c1ccc2c(c1)Sc1ccccc1N2c1ccc(-c2scc3nccnc23)s1,2.0721,2.6106,3.0817,3.208,3.4711,3.7634,3.821,3.9083,4.0074,4.0393,4.2319,4.3159,4.3348,4.449,4.5437,1.4108,2.065,2.6971,2.9113,3.0965,3.1085,3.2469,3.48,3.4946,3.5038,3.6725,3.6988,3.8447,3.9062,3.9835,5
c1ccc(N(c2ccccc2)c2scc3nccnc23)cc1,2.3165,3.2508,3.7076,3.9629,4.0907,4.1305,4.205,4.2739,4.3546,4.4259,4.5828,4.8248,5.0306,5.0814,5.3852,1.5459,2.669,2.965,3.2571,3.3241,3.5444,3.7565,3.8518,3.9286,4.0897,4.1193,4.203,4.2517,4.3131,4.3689,4
CN(C)c1ccc2cc(-c3scc4nccnc34)ccc2c1,2.308,3.1891,3.27,3.3823,3.5574,4.0022,4.3211,4.4838,4.7152,4.7705,4.9258,4.9352,4.9783,5.0215,5.0604,1.4838,2.4804,2.6997,2.7564,3.133,3.3047,3.3888,3.4831,3.8357,4.1001,4.2852,4.3231,4.3807,4.4524,4.5041,4
c1cnc2c(-c3ccc(N4CCC4)cc3)scc2n1,2.3905,3.2428,3.6956,3.9961,4.1364,4.3442,4.3859,4.9583,5.021,5.1219,5.2054,5.3414,5.3893,5.5831,5.6759,1.4631,2.7193,2.9386,3.2003,3.3244,3.6333,3.8557,3.9973,4.2897,4.3371,4.4112,4.7476,4.8671,4.9814,5.1836,3
CN(C)c1cccc2cc(-c3scc4nccnc34)ccc12,2.5225,2.8862,3.2102,3.6116,3.8095,3.965,4.1506,4.2585,4.3856,4.6897,4.8322,4.9053,4.9653,5.0369,5.1346,1.605,2.3946,2.6947,2.7768,3.2866,3.3596,3.5081,3.6901,3.7676,3.9012,4.0599,4.2235,4.3278,4.4557,4.5998,4
CN1c2ccccc2N(C)c2cc(-c3scc4nccnc34)ccc21,1.8121,2.8525,3.2415,3.2669,3.4934,3.8261,4.0916,4.1338,4.2115,4.3151,4.4425,4.4935,4.5747,4.6682,5.0189,1.309,2.0807,2.7127,2.7372,3.1867,3.232,3.3143,3.3529,3.4264,3.806,3.9215,4.015,4.1083,4.2076,4.3173,4
CN(C)c1scc2nccnc12,2.5847,3.4036,4.391,4.5237,5.1261,5.1485,5.2377,5.4445,5.7519,6.0417,6.0925,6.3777,6.4352,6.6601,6.7277,1.4935,2.8329,3.4539,3.7395,4.0333,4.2223,4.3036,4.4282,5.2119,5.6297,5.6907,5.7827,5.8054,5.8173,6.0981,2
CCN(CC)c1scc2nccnc12,2.501,3.4292,4.3511,4.4103,5.0544,5.1751,5.2982,5.4543,5.7658,5.8203,6.0852,6.3608,6.3759,6.4425,6.6304,1.4316,2.8572,3.4427,3.697,3.9884,4.1448,4.304,4.4574,5.2619,5.5511,5.6291,5.7092,5.8681,5.8897,6.0515,2
c1cnc2c(N3CCC3)scc2n1,2.5863,3.4253,4.3561,4.4297,5.0788,5.2331,5.3204,5.5052,5.705,5.7805,6.0484,6.2563,6.2814,6.4409,6.6622,1.4884,2.8508,3.4612,3.7154,4.062,4.1109,4.3388,4.467,5.2687,5.4494,5.6352,5.7067,5.8453,5.8663,5.9565,2
c1cnc2c(N3CCOCC3)scc2n1,2.5252,3.434,4.3899,4.4217,4.7411,5.127,5.2079,5.2771,5.4187,5.7702,5.944,6.1344,6.304,6.3696,6.4014,1.4567,2.8643,3.4561,3.7228,4.0038,4.1721,4.3074,4.4474,4.7505,5.2601,5.6344,5.6486,5.7127,5.8555,5.921,2
CCN(CC)c1ccc(-c2scc3nccnc23)cc1,2.3691,3.2425,3.6441,3.9617,4.1029,4.3305,4.3742,4.9426,5.0219,5.091,5.2001,5.2556,5.329,5.5553,5.675,1.4522,2.7198,2.8909,3.1748,3.3219,3.6351,3.8182,3.9845,4.2811,4.3367,4.3763,4.7334,4.8172,4.9748,5.1469,3
c1cnc2c(N3CCNCC3)scc2n1,2.5697,3.37,3.8074,4.3748,4.5572,4.9402,5.0832,5.2116,5.4111,5.7336,5.9281,5.9658,6.2099,6.2717,6.3333,1.4936,2.807,3.4411,3.7283,3.7521,4.0363,4.15,4.3354,4.4338,5.141,5.6058,5.6449,5.7121,5.7431,5.7626,2
O=S1(=O)c2ccccc2-c2cc(-c3scc4nccnc34)ccc21,2.8393,3.1485,3.4122,3.7814,4.1028,4.121,4.3175,4.3775,4.4749,4.4833,4.6341,4.6862,4.7882,4.9479,4.9512,1.6088,2.6636,2.8376,3.1923,3.3016,3.357,3.6264,3.8649,3.9411,4.0768,4.195,4.2561,4.3107,4.3964,4.4136,4
c1ccc2c(c1)c1ccccc1c1[nH]c(-c3scc4nccnc34)nc21,2.3747,3.034,3.0698,3.5023,3.6777,3.8293,3.9373,4.115,4.1888,4.3676,4.5413,4.552,4.7402,4.7616,4.7863,1.4467,2.5608,2.7311,2.8641,3.0464,3.275,3.3145,3.3307,3.616,3.6668,3.8649,3.8684,4.0068,4.1967,4.2891,6
c1ccc2c(c1)c1ccccc1c1nc(-c3scc4nccnc34)cnc21,2.6659,3.0502,3.1671,3.2873,3.4604,3.5406,3.8394,3.9453,3.985,4.0093,4.1083,4.2677,4.3661,4.4408,4.5055,1.5985,2.688,2.7308,2.8573,2.9755,2.9913,3.1636,3.1955,3.4024,3.6204,3.6328,3.6493,3.7191,3.8634,3.9165,6
c1cnc2c(-c3ccc(N4CCOCC4)cc3)scc2n1,2.4771,3.2326,3.6448,3.9832,4.136,4.3618,4.4358,4.5489,5.0069,5.0417,5.1534,5.1703,5.2649,5.2997,5.5255,1.5094,2.7132,2.9483,3.2238,3.3168,3.7342,3.8497,4.0132,4.2997,4.3276,4.3653,4.5165,4.8146,4.8785,4.9235,3
COc1ccc(N(c2ccc(OC)cc2)c2scc3nccnc23)cc1,2.1458,3.2316,3.5347,3.6278,3.8276,4.1226,4.1395,4.1722,4.2831,4.3067,4.4151,4.6864,4.897,4.9451,5.0746,1.4275,2.6506,2.8537,3.2228,3.3187,3.3652,3.4698,3.5846,3.7027,3.8021,4.0896,4.1121,4.2958,4.3323,4.35,4
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3scc4nccnc34)cc2)cc1,2.1562,3.1214,3.2335,3.6062,3.6426,3.7362,3.9674,4.0323,4.0763,4.1575,4.2554,4.3225,4.4682,4.5153,4.6433,1.4306,2.4566,2.7153,2.9409,3.2134,3.241,3.31,3.5198,3.659,3.6981,3.7172,3.8214,3.8458,3.9828,4.1923,5
c1ccc(N(c2ccccc2)c2ccc(-c3scc4nccnc34)cc2)cc1,2.277,3.2247,3.236,3.6934,3.7945,3.9782,3.9874,4.1629,4.302,4.336,4.3915,4.4105,4.4718,4.6339,4.692,1.4841,2.5693,2.7093,2.9888,3.1831,3.303,3.4567,3.6126,3.7784,3.8798,3.9604,3.9935,4.0877,4.1914,4.2451,5
Cc1ccc(N(c2ccc(C)cc2)c2scc3nccnc23)cc1,2.2467,3.2496,3.6654,3.9128,4.0039,4.0649,4.1262,4.2172,4.2764,4.3912,4.4954,4.7609,4.9944,5.0501,5.2412,1.5046,2.6635,2.9143,3.2121,3.3227,3.4908,3.6602,3.8157,3.905,3.9526,4.0227,4.1571,4.2078,4.2983,4.3399,4
c1ccn(-c2ccc(-c3scc4nccnc34)cc2)c1,2.6569,2.9191,3.2108,3.6722,4.045,4.1464,4.3414,4.3868,4.5337,4.7118,4.9188,4.9371,5.0657,5.1165,5.2102,1.5888,2.6994,2.8497,3.0582,3.2821,3.3518,3.7022,3.8167,3.956,4.0815,4.3113,4.3368,4.3866,4.6131,4.6952,4
c1ccn(-c2scc3nccnc23)c1,2.7625,2.8401,3.3055,4.3818,4.5501,4.7675,4.9623,5.0697,5.0832,5.4086,5.4546,5.5548,5.5964,5.7562,6.2723,1.6321,2.6169,2.7808,3.384,3.7298,3.9007,3.9424,4.2826,4.3638,4.557,4.9217,5.2736,5.3319,5.3624,5.433,3
Cc1ccc(C)n1-c1scc2nccnc12,2.1406,2.9863,3.2654,3.681,4.4092,4.4547,4.7727,4.8642,5.0348,5.2263,5.337,5.6023,5.6517,5.7828,5.9179,1.8692,2.1055,2.6922,3.2854,3.3317,3.6484,3.989,4.3168,4.4505,4.6315,4.7705,4.9151,4.9902,5.0187,5.2035,3
Cc1ccc(C)n1-c1ccc(-c2scc3nccnc23)cc1,2.2037,2.7799,3.2035,3.3335,3.6131,4.0113,4.0441,4.2305,4.3996,4.63,4.6474,4.756,4.8839,4.9299,5.0609,1.6428,2.1892,2.694,3.0971,3.2752,3.3095,3.4272,3.789,3.9866,4.0246,4.0833,4.1367,4.2135,4.3256,4.3925,4
c1ccc2cc(N(c3ccc4ccccc4c3)c3scc4nccnc34)ccc2c1,2.2629,3.1169,3.2589,3.3275,3.4337,3.5363,3.7641,3.9633,4.0658,4.1817,4.3158,4.3594,4.4305,4.5207,4.585,1.5461,2.5587,2.6188,2.6951,2.8571,3.1153,3.2899,3.3301,3.364,3.5136,3.656,3.7101,3.9364,3.9438,4.1418,6
c1ccc2cc(-c3scc4nccnc34)ccc2c1,2.6155,3.1504,3.1808,3.886,4.1343,4.213,4.373,4.6734,4.8075,4.8324,4.9794,5.1252,5.1725,5.2588,5.4377,1.5109,2.5786,2.681,3.0282,3.2705,3.4472,3.6664,3.8526,4.0849,4.1956,4.289,4.2912,4.546,4.6423,4.7532,4
c1ccc2c(-c3scc4nccnc34)c3ccccc3cc2c1,2.4983,3.1783,3.2532,3.3842,3.5793,3.779,3.8702,4.1566,4.3203,4.4408,4.5161,4.7352,4.7822,4.9537,5.0131,1.7477,1.9353,2.4841,2.716,3.2672,3.3218,3.4488,3.5595,3.7437,3.7819,4.0289,4.0789,4.1947,4.3106,4.3139,5
c1ccc(-c2nc(-c3scc4nccnc34)[nH]c2-c2ccccc2)cc1,2.437,3.1205,3.4853,3.7271,3.7784,3.9999,4.2054,4.2273,4.2616,4.3298,4.4212,4.7018,4.7588,4.7909,4.857,1.5487,2.6208,2.7419,2.9303,3.3412,3.4672,3.6258,3.6725,3.7663,3.9474,4.0161,4.0683,4.2233,4.2271,4.2961,5
Fc1ccc(-c2nc(-c3scc4nccnc34)[nH]c2-c2ccc(F)cc2)cc1,2.4431,3.1179,3.4453,3.799,3.9425,4.0006,4.0116,4.2579,4.2761,4.4244,4.5789,4.6173,4.6976,4.7606,4.8096,1.5575,2.6197,2.744,2.9306,3.3388,3.472,3.6255,3.6765,3.6926,3.9597,4.07,4.0947,4.1214,4.2422,4.2965,5
Nc1ccc(-c2nc(-c3scc4nccnc34)[nH]c2-c2ccc(N)cc2)cc1,1.8586,2.6726,3.1008,3.3474,3.5778,3.6408,3.8334,3.9485,4.0737,4.1049,4.1462,4.2477,4.3978,4.4036,4.5309,1.21,2.2684,2.7053,2.8041,2.8416,3.1432,3.2565,3.445,3.4594,3.6255,3.7076,3.7529,3.8711,3.9872,4.0399,5
c1ccc(C(=C(c2ccccc2)c2ccc(-c3scc4nccnc34)cc2)c2ccccc2)cc1,2.4661,3.1243,3.202,3.4446,3.7283,3.869,3.9086,4.0705,4.088,4.1353,4.1885,4.279,4.3142,4.3483,4.4797,1.557,2.3437,2.6938,2.8184,3.1591,3.2804,3.4672,3.5471,3.6011,3.7931,3.8454,3.8984,3.964,3.9895,4.004,6
C(=C(/c1ccccc1)c1ccc(-c2scc3nccnc23)cc1)\c1ccccc1,2.5746,3.1153,3.2034,3.618,3.7824,3.9791,4.0318,4.1288,4.2138,4.2517,4.3597,4.4341,4.5155,4.6374,4.7013,1.5979,2.3913,2.6937,2.8755,3.1719,3.2839,3.5863,3.6224,3.8703,3.9445,3.9593,4.0007,4.0334,4.0413,4.1859,5
S=C1c2cccc3cccc(c23)C(=S)N1c1scc2nccnc12,1.5652,2.2655,2.6602,2.7209,2.9143,3.0073,3.0438,3.1922,3.2463,3.4087,3.4164,3.4887,3.6184,3.6563,3.7521,1.3577,1.6408,1.7358,1.9518,1.9708,2.6443,2.7159,3.0095,3.0393,3.0916,3.0966,3.2025,3.2624,3.3724,3.3745,4
O=C1c2cccc3cccc(c23)C(=O)N1c1scc2nccnc12,3.0526,3.2662,3.4188,3.7203,3.7298,3.7823,3.8805,4.0839,4.1098,4.2596,4.311,4.4746,4.5356,4.5404,4.6155,1.934,2.3269,2.7288,3.0338,3.2795,3.3838,3.451,3.6708,3.7432,3.8817,3.9135,4.0389,4.0428,4.0735,4.298,4
CCCCN1C(=O)c2cccc3c(-c4scc5nccnc45)ccc(c23)C1=O,2.8804,3.1963,3.1984,3.5498,3.6585,3.8097,3.979,4.0402,4.0531,4.1241,4.1792,4.1882,4.3046,4.4229,4.5405,1.7513,2.2267,2.6911,3.2327,3.2859,3.2938,3.3033,3.3686,3.5296,3.7656,3.8861,3.9669,4.0103,4.0392,4.148,4
O=C1NC(=O)c2ccc(-c3scc4nccnc34)c3cccc1c23,2.8991,3.188,3.1945,3.5532,3.6846,3.8785,4.0083,4.0546,4.1205,4.2159,4.233,4.2874,4.4315,4.5454,4.6216,1.754,2.2318,2.6894,3.2263,3.2899,3.3001,3.3188,3.3929,3.7428,3.8178,3.9283,3.9579,4.0177,4.0811,4.1432,4
CCCCN1C(=S)c2cccc3c(-c4scc5nccnc45)ccc(c23)C1=S,1.7785,2.111,2.5043,2.7554,2.7967,2.9402,3.1072,3.1452,3.2007,3.4111,3.4995,3.5273,3.6123,3.6411,3.7872,1.4504,1.5427,1.8065,1.8815,1.9428,2.6777,2.751,2.768,2.99,3.0187,3.1094,3.2545,3.2661,3.3814,3.4368,4
S=C1NC(=S)c2ccc(-c3scc4nccnc34)c3cccc1c23,1.9817,2.2534,2.5976,2.8494,2.9618,2.9872,3.167,3.203,3.2526,3.3749,3.5534,3.605,3.6393,3.6978,3.9191,1.5501,1.7356,1.8211,1.9161,2.003,2.6602,2.7943,2.9551,3.0412,3.0902,3.2342,3.2475,3.2809,3.4252,3.4928,4
C(=C/c1ccc(-c2scc3nccnc23)s1)\c1cccs1,2.1981,3.0443,3.1918,3.3077,3.8382,3.9508,4.029,4.0782,4.2012,4.3649,4.4541,4.4693,4.8131,4.8554,4.9184,1.1198,1.9045,2.708,2.7525,2.9443,3.2417,3.4985,3.6886,3.7207,3.815,3.8299,4.0079,4.0634,4.2936,4.3383,4
c1ccc2c(c1)Sc1ccccc1N2c1scc2nccnc12,2.1147,3.0501,3.307,3.3085,3.8842,3.9208,3.9644,4.2802,4.38,4.4401,4.4648,4.7666,4.773,4.9835,5.0345,1.9223,2.0957,2.709,3.1002,3.2363,3.271,3.4926,3.7759,3.8564,3.9195,3.9544,4.0085,4.1737,4.2607,4.3111,4
c1ccc2c(c1)Sc1ccccc1N2c1ccc(-c2scc3nccnc23)cc1,1.998,2.8903,3.0831,3.1952,3.3648,3.6245,3.872,3.8978,3.9168,4.0932,4.1867,4.2865,4.2889,4.4532,4.5142,1.66,1.9953,2.6868,3.0023,3.0834,3.2455,3.2798,3.3875,3.4903,3.658,3.6747,3.7315,3.8761,3.9074,3.9143,5
c1ccc2c(c1)Sc1ccccc1N2c1ccc(-c2scc3nccnc23)o1,2.3346,2.5879,3.2208,3.2975,3.836,3.992,4.0562,4.0839,4.1683,4.3208,4.3492,4.4416,4.5028,4.6308,4.7489,1.4234,2.327,2.7254,3.0464,3.2213,3.277,3.2783,3.5208,3.6201,3.8113,3.9023,3.9874,4.0214,4.0734,4.1093,5
c1ccc2c(c1)Oc1ccccc1N2c1scc2nccnc12,1.7277,3.1263,3.2627,3.4288,3.8016,3.9018,3.9219,3.9743,4.2229,4.2563,4.4487,4.4738,4.6431,5.0088,5.3771,1.7126,1.9506,2.6943,2.9673,3.1569,3.277,3.5746,3.6454,3.6851,3.9121,3.9213,3.9394,4.0347,4.2564,4.2947,4
c1ccc2c(c1)Oc1ccccc1N2c1ccc(-c2scc3nccnc23)cc1,1.6575,2.8989,3.0225,3.143,3.1954,3.3931,3.74,3.8457,3.9242,4.1195,4.1721,4.2574,4.3057,4.3568,4.4647,1.6371,1.6798,2.6875,2.8066,3.009,3.1433,3.2546,3.2787,3.3438,3.4936,3.6614,3.701,3.715,3.9231,3.9433,5
